codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 360, 2048000, 30,                        60, 2, -3, 2073600, 50, 1, 46, 0, 44, 0, 32, 0 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
530820, 32, 77.767417, 518768,    32.436520, 86.283697, 11.571556, 35.000560,  0.000000,  6.685294,  1.782703
86465, 35, 172.567393, 35456,    34.548529, 142.656591, 11.646025, 40.505575,  0.857253,  2.917908,  -1.187488
61460, 36, 190.419377, 44032,    34.956495, 157.207000, 11.670914, 41.855076,  0.779321,  2.832172,  -1.130895
62070, 35, 149.767863, 53128,    34.615196, 144.938775, 11.738272, 42.678499,  0.744074,  2.802616,  -1.111775
62530, 34, 137.455437, 57544,    33.732108, 117.457590, 11.842173, 41.471464,  0.749167,  2.767636,  -1.089406
62960, 34, 124.580272, 59184,    33.782721, 118.881423, 11.915852, 41.487283,  0.725185,  2.751830,  -1.079251
63480, 34, 118.495547, 52912,    33.697426, 116.491796, 11.946864, 41.709225,  0.749784,  2.722443,  -1.059663
64651, 33, 107.391540, 50592,    32.819240, 94.514548, 11.942123, 40.721645,  0.787438,  2.669687,  -1.023685
66796, 33, 89.902498, 59120,    32.983578, 98.285574, 11.849877, 38.935200,  0.743519,  2.664906,  -1.020500
70020, 32, 84.596014, 67816,    32.222059, 81.988964, 11.821432, 38.262227,  0.753580,  2.656386,  -1.015032
77516, 32, 74.657789, 78760,    32.386887, 85.270183, 11.734914, 37.504549,  0.697253,  2.676184,  -1.027220
61492, 33, 99.312669, 63448,    32.872304, 95.716097, 11.700148, 38.059063,  0.746790,  2.675550,  -1.026807
61438, 33, 99.236133, 64824,    33.236397, 104.382810, 11.666568, 38.587689,  0.729228,  2.689683,  -1.035960
61326, 33, 103.218976, 66288,    33.324142, 106.586217, 11.649778, 38.789519,  0.732870,  2.704838,  -1.045659
61132, 33, 107.764922, 67080,    33.246569, 104.635881, 11.651358, 39.382620,  0.734167,  2.713984,  -1.051460
60840, 33, 110.919414, 67784,    33.191054, 103.262089, 11.599012, 39.761550,  0.734444,  2.719697,  -1.055061
60395, 34, 113.449660, 64752,    34.040319, 126.400081, 11.516444, 39.878394,  0.718241,  2.744390,  -1.070798
59915, 34, 122.067109, 65080,    34.009804, 125.485169, 11.469630, 40.377977,  0.723951,  2.760328,  -1.080848
59092, 34, 129.146712, 64608,    34.031127, 126.123805, 11.531259, 41.120346,  0.733272,  2.770371,  -1.087159
57502, 34, 136.546933, 63568,    34.080147, 127.604285, 11.592889, 42.022236,  0.737160,  2.776089,  -1.090755
52994, 35, 151.516270, 57312,    34.903309, 155.229011, 11.609284, 45.210754,  0.729877,  2.791309,  -1.100592
61164, 34, 134.885767, 69712,    34.087132, 127.816663, 11.594864, 43.066344,  0.721389,  2.803890,  -1.108238
60925, 34, 139.796062, 69264,    33.982598, 124.675051, 11.591704, 43.315259,  0.730309,  2.807769,  -1.110589
60643, 35, 141.887364, 64392,    34.853799, 153.410122, 11.611654, 45.603111,  0.707253,  2.828084,  -1.123150
60454, 35, 149.921431, 63696,    34.749387, 149.643813, 11.675062, 45.841349,  0.723673,  2.836118,  -1.128097
60229, 35, 153.642080, 62176,    34.846569, 153.146282, 11.626469, 45.964957,  0.733395,  2.840747,  -1.130959
59993, 35, 156.154003, 59984,    34.767525, 150.291354, 11.517235, 46.115815,  0.745586,  2.835287,  -1.127554
59773, 35, 154.621648, 59976,    34.932230, 156.301492, 11.503012, 46.209161,  0.743333,  2.837358,  -1.128848
59409, 35, 156.524894, 59752,    34.877206, 154.267371, 11.505580, 46.416743,  0.745432,  2.836219,  -1.128136
58708, 35, 158.167678, 60976,    34.999265, 158.815863, 11.556741, 47.132029,  0.737716,  2.842860,  -1.132265
56301, 35, 168.701663, 59880,    35.049877, 160.741045, 11.593679, 47.362088,  0.743889,  2.845909,  -1.134166
60600, 35, 156.428964, 63880,    35.032843, 160.090511, 11.609481, 47.242944,  0.726883,  2.857708,  -1.141380
60507, 35, 161.411898, 62568,    34.818750, 152.135392, 11.700543, 48.008203,  0.733488,  2.854711,  -1.139544
60436, 35, 160.417255, 61904,    34.747304, 149.569612, 11.711210, 48.255867,  0.732531,  2.848620,  -1.135798
