codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 360, 384000, 30,                        60, 2, -3, 2073600, 50, 1, 46, 0, 44, 0, 36, 0 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
311450, 36, 201.540322, 279232,    34.853186, 153.387745, 12.033778, 48.067296,  0.000000,  6.432792,  1.770325
40999, 38, 306.775490, 11528,    39.039951, 415.589951, 12.037136, 51.265198,  0.935525,  3.128890,  -1.311216
18818, 42, 831.179901, 7472,    41.798529, 801.452163, 12.070123, 56.546384,  0.953302,  3.071600,  -1.265441
11526, 45, 1602.904325, 6408,    43.652819, 1246.219895, 12.004938, 59.407157,  0.960864,  3.031425,  -1.232743
9167, 46, 2179.076300, 6232,    43.839338, 1302.804215, 11.975506, 60.329486,  0.959043,  2.998209,  -1.205350
8600, 46, 2179.076300, 5976,    43.773162, 1282.440115, 11.940741, 61.197985,  0.959846,  2.968469,  -1.180551
8569, 46, 1935.193257, 6424,    43.583824, 1225.917370, 11.940346, 62.333524,  0.956759,  2.944821,  -1.160635
8742, 45, 1681.510475, 6200,    42.970466, 1059.364541, 11.939753, 63.530447,  0.961728,  2.919472,  -1.139115
9049, 44, 1424.631111, 6848,    42.345343, 912.879174, 12.007309, 65.137349,  0.957809,  2.897206,  -1.120048
9584, 43, 1195.341448, 7328,    41.479289, 742.798465, 12.011457, 66.150667,  0.955556,  2.874713,  -1.100639
11066, 42, 912.125454, 8552,    40.783701, 629.438549, 12.006123, 64.695770,  0.947222,  2.855895,  -1.084274
8519, 43, 1104.548930, 8032,    41.769975, 796.022572, 12.051753, 68.475918,  0.949815,  2.844717,  -1.074489
8532, 43, 1040.927572, 8104,    41.812500, 804.122178, 12.116543, 70.130294,  0.946204,  2.835801,  -1.066654
8546, 43, 992.089406, 8248,    41.915686, 824.120252, 12.139852, 70.523630,  0.940278,  2.829464,  -1.061067
8559, 43, 958.416548, 7656,    41.895588, 820.186521, 12.100346, 70.340604,  0.941852,  2.821706,  -1.054213
8603, 42, 915.640788, 8480,    41.142892, 685.631121, 12.190815, 69.857596,  0.939167,  2.813115,  -1.046601
8622, 42, 873.507413, 8512,    41.278186, 708.074143, 12.165333, 70.044088,  0.939691,  2.806831,  -1.041016
8649, 42, 842.524971, 8368,    41.192647, 693.800707, 12.025481, 68.637803,  0.939630,  2.800414,  -1.035301
8705, 42, 809.257200, 8920,    41.290686, 710.184394, 12.021136, 68.841327,  0.934722,  2.797464,  -1.032667
8747, 42, 792.792810, 9104,    41.293873, 710.723306, 12.017383, 69.164567,  0.932407,  2.795560,  -1.030965
8830, 42, 777.399327, 9320,    41.286765, 709.521678, 11.924938, 68.754492,  0.934907,  2.794562,  -1.030073
8576, 42, 796.854869, 9312,    41.359681, 721.945820, 11.980049, 69.378184,  0.940123,  2.794170,  -1.029722
8556, 42, 797.220737, 8936,    41.299510, 711.677768, 12.069728, 70.343252,  0.937346,  2.792249,  -1.028003
8542, 42, 790.518692, 9024,    41.307475, 713.028650, 12.061235, 70.405407,  0.936204,  2.790944,  -1.026835
8520, 42, 787.081776, 9280,    41.410049, 730.654687, 12.102321, 70.833060,  0.934012,  2.791313,  -1.027166
8483, 42, 792.246187, 9064,    41.375980, 724.752597, 12.131160, 71.368979,  0.937500,  2.790727,  -1.026641
8440, 42, 793.928215, 8864,    41.410784, 730.782599, 12.199506, 72.000694,  0.948117,  2.789818,  -1.025827
8388, 42, 795.147459, 8472,    41.471814, 741.477707, 12.240988, 72.868790,  0.952778,  2.788154,  -1.024335
8334, 42, 793.400341, 8016,    41.324020, 715.842527, 12.310716, 73.856348,  0.952253,  2.784175,  -1.020767
8283, 42, 781.708693, 8232,    41.359804, 721.966883, 12.350222, 74.425850,  0.951389,  2.781786,  -1.018622
8075, 42, 792.095661, 8448,    41.399755, 728.866272, 12.313086, 74.202316,  0.949506,  2.780751,  -1.017692
8550, 41, 743.212055, 8632,    40.605025, 603.225613, 12.331062, 74.949328,  0.953889,  2.775218,  -1.012718
8547, 41, 722.003541, 9056,    40.739706, 622.880355, 12.346667, 75.282493,  0.951944,  2.772745,  -1.010491
8530, 41, 713.941411, 9328,    40.713848, 619.057746, 12.349235, 75.264027,  0.945031,  2.771294,  -1.009182
8501, 41, 710.978929, 9176,    40.614338, 604.564623, 12.322173, 75.011796,  0.948241,  2.768937,  -1.007056
8467, 41, 704.961884, 8968,    40.522181, 591.445221, 12.221432, 73.844185,  0.948364,  2.765679,  -1.004114
8429, 41, 695.964694, 8880,    40.624877, 606.083403, 12.174815, 73.151525,  0.947469,  2.763302,  -1.001965
8377, 41, 691.381123, 8640,    40.576225, 599.103987, 12.222815, 73.493697,  0.946142,  2.760196,  -1.000000
8313, 41, 688.422227, 8304,    40.461152, 582.914188, 12.163556, 73.043239,  0.950062,  2.755571,  -1.000000
8227, 41, 694.536488, 7592,    40.493873, 587.472640, 12.195160, 73.355233,  0.954321,  2.748744,  -1.000000
8142, 41, 699.962651, 7840,    40.501471, 588.536247, 12.198716, 73.212674,  0.952006,  2.742936,  -1.000000
9582, 41, 593.587114, 9184,    40.453922, 581.911671, 12.170469, 72.313995,  0.943611,  2.741227,  -1.000000
9593, 41, 592.537151, 8456,    40.446446, 580.876984, 12.189630, 72.240479,  0.953395,  2.737224,  -1.000000
9629, 41, 589.459770, 8984,    40.443137, 580.419594, 12.202469, 71.771182,  0.945370,  2.734903,  -1.000000
9657, 40, 587.252311, 8872,    39.545466, 468.738665, 12.166123, 69.914523,  0.949506,  2.726420,  -1.000000
9700, 40, 582.835493, 9096,    39.592402, 474.005711, 12.229333, 70.570701,  0.956265,  2.719032,  -1.000000
9747, 40, 578.453329, 8704,    39.573897, 471.922117, 12.241580, 70.906461,  0.957377,  2.710420,  -1.000000
