# YR	YI
-9.896421	0.000000
5.256048	2.657246
-0.583198	0.600197
5.196075	-2.660381
-9.910898	-1.207179
5.332493	2.666702
-0.586962	1.828072
5.152354	-2.676245
-9.954754	-2.470459
5.425908	2.688797
-0.594242	3.143371
5.124465	-2.705110
-10.028478	-3.855895
5.537265	2.724699
-0.605697	4.620414
5.113717	-2.747797
-10.134264	-5.451347
5.667835	2.774479
-0.621042	6.367167
5.120734	-2.805548
-10.274960	-7.390736
5.819917	2.840257
-0.640528	8.554354
5.146285	-2.879367
-10.453152	-9.900635
5.995193	2.923011
-0.664537	11.490088
5.192719	-2.971807
-10.673884	-13.411868
6.197517	3.025659
-0.692844	15.801242
5.262567	-3.085389
-10.944022	-18.877380
6.430201	3.151345
-0.726340	23.017698
5.359452	-3.224055
-11.271436	-28.935003
6.698945	3.304276
-0.765209	38.156075
5.488261	-3.392789
-11.667685	-54.649792
7.010703	3.490423
-0.810024	92.967865
5.655962	-3.598487
-12.148302	-284.072479
3.687383	-223.140823
-0.861306	-288.768555
5.871333	-3.850457
-12.734113	97.667542
7.803979	3.997981
-0.920015	-59.356651
6.148192	-4.162466
-13.456284	42.873566
8.316556	4.346831
-0.986768	-33.667042
6.506185	-4.554070
-14.359042	27.767673
8.938712	4.788713
-1.062907	-23.649279
6.975462	-5.055689
-15.511466	20.599104
9.711135	5.361605
-1.149537	-18.239864
7.603909	-5.714668
-17.024118	16.351992
10.699853	6.127429
-1.249185	-14.801427
8.472826	-6.613849
-19.086395	13.498790
12.016970	7.195497
-1.362962	-12.383871
9.732559	-7.902304
-22.057405	11.413986
13.880941	8.778316
-1.494065	-10.558172
11.693676	-9.891106
-26.703131	9.793222
16.772270	11.349813
-1.646004	-9.101351
15.118986	-13.343031
-35.011547	8.468696
22.016333	16.226591
-1.823056	-7.883739
22.514357	-20.764427
-54.263355	7.338027
35.155083	28.940081
-2.031841	-6.823494
49.754505	-48.029411
-149.946548	6.333651
150.227692	143.513306
-2.280107	-230.862747
-141.273315	142.974457
136.295502	5.405430
-40.181442	-47.490158
-2.579591	-4.956788
-26.722115	28.399981
40.505646	4.511940
-12.195356	-20.223185
-2.946518	-4.065995
-14.028545	15.683846
21.030407	3.613434
-3.882164	-12.798161
-3.405305	-3.148881
-9.168944	10.802655
12.358616	2.665492
0.699467	-9.341162
-3.994009	-2.155492
-6.612611	8.225154
7.166483	1.609039
4.165336	-7.345536
-4.774589	-1.013937
-5.042638	6.634753
3.388374	0.354171
7.466809	-6.048668
-5.856545	0.392246
-3.985158	5.557237
0.110584	-1.256018
11.270686	-5.139714
-7.452177	2.281469
-3.227228	4.780370
-3.333263	-3.537159
16.490503	-4.468216
-10.036056	5.132388
-2.660221	4.194561
-7.894996	-7.256330
25.192293	-3.952743
-14.924534	10.265289
-2.221643	3.737821
-16.189789	-14.923230
44.699524	-3.545236
-27.648653	23.214365
-1.873594	3.372004
-44.159691	-42.414753
140.523560	-3.215408
-142.232025	138.005630
-1.591664	-221.926666
146.263992	148.379272
-145.681931	-2.943114
48.761608	-52.795609
-1.359657	2.824289
31.203886	33.609673
-49.959835	-2.715092
21.485546	-25.340309
-1.166046	2.614405
18.075960	20.711615
-30.666338	-2.521358
14.051891	-17.739250
-1.002649	2.435164
12.840839	15.659966
-22.313749	-2.355050
10.586541	-14.117329
-0.863212	2.280371
9.956545	12.922748
-17.620985	-2.210983
8.583385	-11.966558
-0.743757	2.145659
8.097875	11.181839
-14.599998	-2.084548
7.278869	-10.523876
-0.640011	2.027204
6.783737	9.962624
-12.484091	-1.973280
6.362932	-9.477410
-0.549841	1.922887
5.797154	9.051950
-10.915574	-1.874751
5.684568	-8.675398
-0.470834	1.829538
5.023422	8.339053
-9.703071	-1.787137
5.162817	-8.036981
-0.400826	1.745789
4.398728	7.761654
-8.735367	-1.708180
4.749712	-7.511925
-0.338944	1.671313
3.881075	7.282092
-7.945194	-1.636574
4.413774	-7.070215
-0.284531	1.603746
3.444143	6.874231
-7.286613	-1.572303
4.136047	-6.691990
-0.235813	1.542222
3.070154	6.521769
-6.728634	-1.513688
3.902622	-6.362449
-0.192387	1.486419
2.745734	6.212866
-6.249646	-1.460398
3.703917	-6.072130
-0.153331	1.435258
2.461682	5.938981
-5.833579	-1.411357
3.532794	-5.813104
-0.118398	1.388448
2.210392	5.693635
-5.468907	-1.366379
3.383822	-5.580207
-0.087099	1.345411
1.986776	5.471964
-5.146346	-1.325121
3.253266	-5.368855
-0.058681	1.305655
1.786153	5.270285
-4.858792	-1.286901
3.137583	-5.175775
-0.033153	1.268487
1.605630	5.085938
-4.601593	-1.251585
3.035267	-4.999057
-0.010004	1.234865
1.441543	4.915663
-4.368922	-1.218766
2.943296	-4.835474
0.010868	1.203268
1.292270	4.758262
-4.158089	-1.188296
2.860578	-4.683821
0.029836	1.173822
1.155868	4.611990
-3.965960	-1.159872
2.785781	-4.542589
0.047129	1.146397
1.030504	4.475659
-3.790228	-1.133696
2.718166	-4.410281
0.062239	1.120736
0.915582	4.347507
-3.628774	-1.108543
2.656131	-4.286613
0.076485	1.096738
0.809079	4.227481
-3.479935	-1.085227
2.599468	-4.170258
0.089142	1.074336
0.710719	4.114366
-3.342426	-1.063564
2.547519	-4.060207
0.100874	1.053154
0.619227	4.007590
-3.214739	-1.042981
2.499614	-3.956220
0.111341	1.033276
0.534013	3.906397
-3.096085	-1.023651
2.455295	-3.857625
0.120734	1.014587
0.454525	3.810298
-2.985383	-1.005648
2.414428	-3.764193
0.129435	0.996861
0.380426	3.719043
-2.881813	-0.988407
2.376399	-3.674952
0.137078	0.980321
0.310683	3.632141
-2.785091	-0.972325
2.340791	-3.590293
0.143963	0.964153
0.245487	3.548670
-2.693737	-0.957419
2.308346	-3.509467
0.150949	0.949247
0.184766	3.469572
-2.607762	-0.942445
2.277627	-3.431396
0.156495	0.935580
0.126835	3.393929
-2.527317	-0.928513
2.248569	-3.357189
0.161349	0.922069
0.072550	3.320961
-2.451095	-0.915652
2.221662	-3.285805
0.166030	0.909358
0.021201	3.251206
-2.378982	-0.903138
2.196039	-3.217121
0.169998	0.896987
-0.027197	3.184188
-2.311037	-0.891448
2.172406	-3.151554
0.173717	0.885702
-0.073166	3.119507
-2.246173	-0.880130
2.149828	-3.088043
0.176854	0.874788
-0.116790	3.057264
-2.184729	-0.869506
2.128547	-3.027054
0.179812	0.864274
-0.158071	2.997317
-2.126170	-0.859274
2.108317	-2.968199
0.182877	0.854393
-0.198163	2.940235
-2.070553	-0.851163
2.090659	-2.909956
0.182885	0.844814
-0.233996	2.882814
-2.017380	-0.840250
2.071966	-2.855708
0.185343	0.835808
-0.269689	2.828959
-1.966753	-0.831278
2.054772	-2.802658
0.186778	0.827124
-0.303364	2.776542
-1.918347	-0.822967
2.038692	-2.751051
0.188211	0.818810
-0.335562	2.725965
-1.872058	-0.814678
2.023143	-2.701019
0.189044	0.810858
-0.366352	2.676697
-1.827673	-0.806942
2.008559	-2.652645
0.189724	0.803237
-0.395717	2.628941
-1.785206	-0.799504
1.994689	-2.605646
0.190193	0.795942
-0.423746	2.582653
-1.744472	-0.792414
1.981433	-2.560004
0.190519	0.788857
-0.450512	2.537691
-1.705192	-0.785541
1.968787	-2.515524
0.190680	0.782268
-0.476309	2.494017
-1.667591	-0.778924
1.956552	-2.472524
0.190558	0.775870
-0.500982	2.451384
-1.631437	-0.772473
1.945029	-2.430735
0.190267	0.769714
-0.524440	2.409818
-1.596647	-0.766277
1.934153	-2.390024
0.189628	0.763844
-0.546795	2.369482
-1.563295	-0.760530
1.923745	-2.350101
0.188970	0.757992
-0.568429	2.330316
-1.530952	-0.754997
