# YR	YI
7.877088	0.000000
-12.074189	-0.018517
16.501732	0.050627
-15.678311	-0.072151
9.914202	0.060835
-8.654976	-0.066377
14.214626	0.130834
-17.232275	-0.185041
14.323505	0.175787
-8.460622	-0.116809
10.650824	0.163391
-16.265490	-0.274490
17.848028	0.328576
-12.344957	-0.246211
8.452591	0.181553
-13.308387	-0.306276
18.598148	0.456556
-17.763556	-0.463337
10.441593	0.288387
-10.037440	-0.292626
16.607479	0.509677
-21.220291	-0.683817
16.589676	0.560075
-9.639868	-0.340249
13.066229	0.481260
-21.106295	-0.809809
23.469498	0.936545
-14.804228	-0.613504
10.643394	0.457432
-17.996078	-0.801092
27.248079	1.254821
-24.690571	-1.175009
13.560442	0.666175
-14.127517	-0.715771
26.475832	1.382110
-35.068314	-1.884601
25.156830	1.390663
-14.245797	-0.809422
22.449476	1.310090
-41.899418	-2.509650
45.501369	2.795436
-26.506308	-1.669260
19.994505	1.289979
-44.728409	-2.954648
75.150558	5.080006
-65.968567	-4.561005
34.474312	2.436643
-53.237602	-3.844961
152.228256	11.228992
-249.638672	-18.799480
213.242218	16.387575
-22.896603	-1.794976
-193.238617	-15.446813
272.727295	22.222015
-192.093842	-15.948619
69.124168	5.845876
-21.684294	-1.867337
51.900414	4.549633
-75.366776	-6.723186
51.773888	4.698624
-13.881557	-1.281238
12.956727	1.215933
-37.015335	-3.531057
43.507812	4.217777
-21.714962	-2.138733
2.952949	0.295425
-13.655188	-1.387232
30.481995	3.143917
-28.068275	-2.938490
7.331237	0.778878
-1.082663	-0.116706
15.385472	1.682326
-26.344364	-2.921539
16.928520	1.903633
0.531148	0.060555
2.590489	0.299362
-17.258694	-2.021235
22.720413	2.696204
-7.117532	-0.855692
-4.055431	-0.493877
-5.316848	-0.655769
19.803671	2.473390
-17.740887	-2.243411
-1.514033	-0.193817
4.840056	0.627136
9.420089	1.235278
-22.830931	-3.029505
9.955917	1.336620
8.743493	1.187505
-4.061936	-0.558028
-17.186152	-2.387885
24.516909	3.444785
1.582094	0.224760
-16.380831	-2.352879
-0.265257	-0.038520
33.611904	4.933166
-20.929750	-3.104654
-23.086605	-3.460784
33.815723	5.122178
36.036217	5.515065
-83.422195	-12.898114
-75.582436	-11.804732
65.627007	10.353055
122.330986	19.490763
-15.811371	-2.544061
-81.198402	-13.192725
-11.385049	-1.867713
44.405712	7.354749
-12.570761	-2.101881
-22.610720	-3.816222
11.356682	1.934700
18.612711	3.200206
-19.150469	-3.322911
-1.890754	-0.331076
13.277237	2.345801
2.715086	0.483997
-15.598565	-2.805307
8.835531	1.603011
6.248959	1.143641
-5.757940	-1.062911
-7.809515	-1.454020
11.820434	2.219557
-2.176492	-0.412141
-6.292297	-1.201520
0.099143	0.019087
9.422892	1.829296
-7.487591	-1.465508
-1.746983	-0.344713
4.269632	0.849283
3.976578	0.797337
-8.756006	-1.769621
3.341300	0.680629
3.329026	0.683443
-1.403969	-0.290479
-6.511193	-1.357575
6.359988	1.336232
-0.373196	-0.079009
-3.408179	-0.726983
-1.906849	-0.409797
6.951095	1.505013
-3.518301	-0.767415
-1.353003	-0.297294
2.372200	0.525052
5.075224	1.131503
-4.981897	-1.118727
2.014956	0.455722
3.206190	0.730315
1.087672	0.249507
-5.212584	-1.204169
3.783678	0.880191
0.293973	0.068860
-2.716900	-0.640820
-3.996530	-0.949113
3.798607	0.908267
-3.235275	-0.778817
-3.264935	-0.791262
-1.005910	-0.245419
3.333048	0.818602
-4.451669	-1.100583
-0.220442	-0.054861
2.098893	0.525746
2.426136	0.611674
-3.554313	-0.901906
3.332727	0.851122
2.562455	0.658597
0.446171	0.115404
-2.307938	-0.600739
4.494939	1.177361
-0.048243	-0.012718
-1.601610	-0.424763
-1.180806	-0.315102
3.424860	0.919566
-3.073197	-0.830205
-1.608162	-0.437081
0.315737	0.086334
1.889152	0.519681
-3.983778	-1.102458
0.688180	0.191583
1.526657	0.427530
0.580664	0.163573
-2.922329	-0.828056
3.061188	0.872476
0.999663	0.286576
-0.705001	-0.203275
-1.420147	-0.411834
3.543395	1.033461
-1.167854	-0.342559
-1.392771	-0.410854
-0.144385	-0.042835
2.414372	0.720276
-3.027855	-0.908355
-0.507129	-0.152986
0.917133	0.278210
0.984280	0.300229
-3.134299	-0.961290
1.520312	0.468834
1.201803	0.372631
-0.191137	-0.059587
-1.946633	-0.610126
2.941113	0.926778
0.078664	0.024920
-1.021758	-0.325417
-0.604415	-0.193520
2.739860	0.881878
-1.776392	-0.574775
-0.976379	-0.317576
0.443416	0.144978
1.521802	0.500146
-2.807720	-0.927546
0.295101	0.097990
1.046369	0.349238
0.279299	0.093695
-2.361187	-0.796134
1.950138	0.660870
0.728765	0.248214
-0.627805	-0.214903
-1.141903	-0.392842
2.634566	0.910872
-0.619702	-0.215320
-1.011491	-0.353191
-0.007057	-0.002475
1.998645	0.704769
-2.054627	-0.728054
-0.471482	-0.167884
0.752978	0.269421
0.804212	0.289144
-2.431800	-0.878537
0.895556	0.325092
0.929305	0.338956
-0.217027	-0.079536
-1.655728	-0.609675
2.098178	0.776254
0.213100	0.079213
-0.827553	-0.309056
-0.507626	-0.190465
2.206879	0.831900
-1.124003	-0.425672
-0.811287	-0.308667
0.396433	0.151524
1.334088	0.512266
-2.089798	-0.806124
0.038241	0.014818
0.857537	0.333813
0.249515	0.097569
-1.968164	-0.773110
1.305339	0.515062
0.665896	0.263929
-0.535306	-0.213120
-1.036169	-0.414372
2.036546	0.818057
-0.276469	-0.111547
-0.849182	-0.344137
-0.028183	-0.011471
1.721881	0.703960
-1.441221	-0.591800
-0.501417	-0.206793
0.636686	0.263724
0.762963	0.317401
-1.945959	-0.813045
0.495919	0.208095
0.807380	0.340245
-0.158769	-0.067196
-1.474325	-0.626645
1.533244	0.654467
0.324536	0.139116
-0.704008	-0.303063
-0.515708	-0.222941
1.824655	0.792126
-0.692513	-0.301900
-0.737416	-0.322822
0.313045	0.137616
1.230302	0.543099
-1.583995	-0.702137
-0.142056	-0.063230
0.739885	0.330687
0.294503	0.132170
-1.679103	-0.756657
0.862798	0.390397
0.643698	0.292450
-0.436934	-0.199320
-0.994256	-0.455403
1.596408	0.734174
-0.040604	-0.018749
-0.747398	-0.346503
-0.099656	-0.046388
1.515486	0.708256
-1.004496	-0.471326
-0.531238	-0.250260
0.532124	0.251675
0.769592	0.365434
-1.574209	-0.750465
0.217958	0.104318
0.729202	0.350377
-0.069379	-0.033467
-1.339616	-0.648746
1.116129	0.542630
0.404280	0.197317
-0.600644	-0.294298
-0.559213	-0.275063
1.521109	0.751095
-0.385578	-0.191127
-0.688138	-0.342419
0.213056	0.106426
1.156526	0.579924
-1.197143	-0.602592
-0.267474	-0.135151
0.644180	0.326735
0.365207	0.185941
-1.441567	-0.736745
0.539259	0.276643
0.627017	0.322880
-0.332296	-0.171760
-0.971130	-0.503857
1.247782	0.649824
0.124979	0.065331
-0.664576	-0.348696
-0.189188	-0.099636
1.339723	0.708189
-0.675910	-0.358619
-0.548736	-0.292224
0.427993	0.228767
0.787457	0.422458
-1.269132	-0.683377
0.018974	0.010254
0.663670	0.359993
0.032092	0.017472
-1.220266	-0.666758
0.792725	0.434727
0.456228	0.251105
-0.501310	-0.276921
-0.609239	-0.337760
1.262778	0.702617
-0.160530	-0.089643
-0.643366	-0.360562
0.105416	0.059291
1.087495	0.613856
-0.887890	-0.502983
-0.352632	-0.200478
0.553379	0.315731
0.439435	0.251615
-1.231049	-0.707394
0.295987	0.170686
0.605506	0.350415
-0.223277	-0.129671
-0.945743	-0.551196
0.960111	0.561543
0.240959	0.141428
-0.585573	-0.344903
-0.280608	-0.165857
1.176615	0.697896
-0.422091	-0.251235
-0.552170	-0.329808
0.321511	0.192706
0.798978	0.480556
-1.008877	-0.608912
-0.124422	-0.075357
0.599022	0.364055
0.134634	0.082107
-1.102458	-0.674656
0.536008	0.329145
0.485354	0.299066
-0.400679	-0.247740
-0.650962	-0.403871
1.034358	0.643938
0.006018	0.003759
-0.595330	-0.373162
-0.002993	-0.001883
1.011982	0.638658
-0.635369	-0.402343
-0.407279	-0.258783
0.461290	0.294095
0.504936	0.323011
-1.037301	-0.665815
0.111145	0.071583
0.575825	0.372105
-0.113342	-0.073490
-0.908524	-0.591060
0.718158	0.468782
0.320251	0.209748
-0.504255	-0.331366
-0.363952	-0.239968
1.018957	0.674084
-0.224280	-0.148865
-0.542095	-0.361015
0.213779	0.142843
0.795624	0.533386
-0.783130	-0.526753
-0.226559	-0.152894
0.530521	0.359210
0.230318	0.156463
-0.981201	-0.668762
0.330588	0.226064
0.495578	0.340005
-0.298087	-0.205184
-0.676580	-0.467245
0.829422	0.574678
0.128652	0.089431
-0.540940	-0.377260
-0.106185	-0.074298
0.926075	0.650093
-0.427860	-0.301333
-0.438103	-0.309553
0.366324	0.259681
0.554504	0.394355
-0.856770	-0.611304
-0.028903	-0.020689
0.536880	0.385554
-0.006846	-0.004932
-0.856095	-0.618785
0.513848	0.372610
0.371291	0.270107
-0.418919	-0.305740
-0.432520	-0.316684
0.865379	0.635656
-0.070317	-0.051817
-0.519422	-0.383996
0.107604	0.079804
0.773972	0.575859
-0.586884	-0.438059
-0.296996	-0.222393
0.456301	0.342776
0.313199	0.236029
-0.856064	-0.647198
0.166643	0.126386
0.489869	0.372716
-0.195294	-0.149063
-0.682428	-0.522537
0.645624	0.495929
0.217085	0.167283
-0.479292	-0.370507
-0.198975	-0.154301
0.829943	0.645648
-0.257889	-0.201258
-0.449550	-0.351944
0.269413	0.211586
0.584319	0.460348
-0.689145	-0.544651
-0.133475	-0.105822
0.488563	0.388567
0.091746	0.073198
-0.788593	-0.631146
0.342083	0.274646
0.399836	0.322023
-0.329908	-0.266540
-0.482294	-0.390881
0.716991	0.582918
0.048115	0.039241
-0.485218	-0.396964
0.006740	0.005531
0.733862	0.604152
-0.417374	-0.344678
-0.342235	-0.283510
0.376816	0.313133
0.379086	0.316005
-0.729162	-0.609726
0.037039	0.031068
0.470251	0.395682
-0.095305	-0.080443
-0.667920	-0.565514
0.482234	0.409568
0.278213	0.237026
-0.410540	-0.350853
-0.277024	-0.237483
0.726046	0.624351
-0.120111	-0.103609
-0.444745	-0.384832
0.172970	0.150133
0.592926	0.516239
-0.535468	-0.467659
-0.209379	-0.183431
0.431571	0.379258
0.178362	0.157228
-0.708411	-0.626405
0.199236	0.176717
0.409914	0.364710
-0.239148	-0.213433
-0.511305	-0.457737
0.576099	0.517336
0.137255	0.123636
-0.440608	-0.398114
-0.084915	-0.076963
0.677338	0.615799
-0.272769	-0.248753
-0.366909	-0.335635
0.293586	0.269390
0.425368	0.391515
-0.603672	-0.557343
-0.063514	-0.058820
0.438460	0.407308
-0.001699	-0.001584
-0.634341	-0.592908
0.339109	0.317937
0.317024	0.298145
-0.336205	-0.317157
-0.337401	-0.319265
0.617964	0.586546
-0.010247	-0.009755
-0.426044	-0.406875
0.080159	0.076788
0.581031	0.558306
-0.396944	-0.382593
-0.261578	-0.252896
0.367215	0.356119
0.249565	0.242767
-0.619156	-0.604143
0.082429	0.080677
0.404326	0.396951
-0.149526	-0.147250
-0.519285	-0.512952
