# Frequency(Hz)	Magnitude
0.000000	0.007612
0.666667	0.007630
1.333333	0.007648
2.000000	0.007699
2.666667	0.007760
3.333333	0.007843
4.000000	0.007949
4.666667	0.008064
5.333333	0.008228
6.000000	0.008388
6.666667	0.008615
7.333333	0.008834
8.000000	0.009132
8.666667	0.009440
9.333333	0.009821
10.000000	0.010264
10.666667	0.010751
11.333333	0.011398
12.000000	0.012039
12.666667	0.013005
13.333333	0.013906
14.000000	0.015386
14.666667	0.016811
15.333333	0.019195
16.000000	0.021914
16.666666	0.026140
17.333334	0.033290
18.000000	0.042652
18.666666	0.089453
19.333334	0.152753
20.000000	0.180560
20.666666	0.150199
21.333334	0.086046
22.000000	0.039261
22.666666	0.029869
23.333334	0.022713
24.000000	0.018471
24.666666	0.015739
25.333334	0.013337
26.000000	0.011893
26.666666	0.010391
27.333334	0.009466
28.000000	0.008473
28.666666	0.007802
29.333334	0.007122
30.000000	0.006601
30.666666	0.006118
31.333334	0.005697
32.000000	0.005341
32.666668	0.004997
33.333332	0.004722
34.000000	0.004440
34.666668	0.004218
35.333332	0.003988
36.000000	0.003802
36.666668	0.003616
37.333332	0.003454
38.000000	0.003301
38.666668	0.003159
39.333332	0.003032
40.000000	0.002907
40.666668	0.002800
41.333332	0.002690
42.000000	0.002597
42.666668	0.002501
43.333332	0.002419
44.000000	0.002339
44.666668	0.002267
45.333332	0.002196
46.000000	0.002127
46.666668	0.002066
47.333332	0.002004
48.000000	0.001950
48.666668	0.001895
49.333332	0.001846
50.000000	0.001797
50.666668	0.001752
51.333332	0.001709
52.000000	0.001668
52.666668	0.001630
53.333332	0.001592
54.000000	0.001557
54.666668	0.001522
55.333332	0.001491
56.000000	0.001459
56.666668	0.001430
57.333332	0.001402
58.000000	0.001375
58.666668	0.001349
59.333332	0.001325
60.000000	0.001301
60.666668	0.001277
61.333332	0.001256
62.000000	0.001235
62.666668	0.001215
63.333332	0.001196
64.000000	0.001178
64.666664	0.001160
65.333336	0.001143
66.000000	0.001127
66.666664	0.001112
67.333336	0.001097
68.000000	0.001081
68.666664	0.001066
69.333336	0.001052
70.000000	0.001040
70.666664	0.001028
71.333336	0.001016
72.000000	0.001005
72.666664	0.000994
73.333336	0.000983
74.000000	0.000973
74.666664	0.000964
75.333336	0.000954
76.000000	0.000945
76.666664	0.000936
77.333336	0.000928
78.000000	0.000920
78.666664	0.000912
79.333336	0.000905
80.000000	0.000898
80.666664	0.000891
81.333336	0.000885
82.000000	0.000879
82.666664	0.000873
83.333336	0.000867
84.000000	0.000862
84.666664	0.000858
85.333336	0.000853
86.000000	0.000848
86.666664	0.000844
87.333336	0.000840
88.000000	0.000836
88.666664	0.000832
89.333336	0.000829
90.000000	0.000826
90.666664	0.000822
91.333336	0.000819
92.000000	0.000818
92.666664	0.000816
93.333336	0.000814
94.000000	0.000812
94.666664	0.000810
95.333336	0.000809
96.000000	0.000807
96.666664	0.000806
97.333336	0.000805
98.000000	0.000805
98.666664	0.000804
99.333336	0.000804
