# Time(sec)	Signal	Window
6.400000	-0.000000	0.000000
6.405000	-0.000107	0.000152
6.410000	-0.000188	0.000607
6.415000	0.000214	0.001365
6.420000	0.001426	0.002427
6.425000	0.003377	0.003790
6.430000	0.005454	0.005454
6.435000	0.006610	0.007419
6.440000	0.005691	0.009683
6.445000	0.001915	0.012244
6.450000	-0.004667	0.015102
6.455000	-0.012907	0.018253
6.460000	-0.020636	0.021698
6.465000	-0.025119	0.025433
6.470000	-0.023830	0.029455
6.475000	-0.015328	0.033764
6.480000	-0.000001	0.038355
6.485000	0.019624	0.043227
6.490000	0.039137	0.048376
6.495000	0.053137	0.053800
6.500000	0.056582	0.059494
6.505000	0.046284	0.065456
6.510000	0.022151	0.071681
6.515000	-0.012229	0.078166
6.520000	-0.049906	0.084908
6.525000	-0.081884	0.091902
6.530000	-0.099143	0.099143
6.535000	-0.095005	0.106628
6.540000	-0.067212	0.114351
6.545000	-0.019135	0.122309
6.550000	0.040325	0.130496
6.555000	0.098223	0.138907
6.560000	0.140317	0.147537
6.565000	0.154457	0.156382
6.570000	0.133840	0.165435
6.575000	0.079307	0.174691
6.580000	-0.000003	0.184144
6.585000	-0.087976	0.193790
6.590000	-0.164732	0.203621
6.595000	-0.211002	0.213632
6.600000	-0.212862	0.223818
6.605000	-0.165586	0.234170
6.610000	-0.075613	0.244684
6.615000	0.039947	0.255354
6.620000	0.156455	0.266171
6.625000	0.246923	0.277131
6.630000	0.288226	0.288226
6.635000	0.266811	0.299449
6.640000	0.182677	0.310794
6.645000	0.050419	0.322255
6.650000	-0.103153	0.333823
6.655000	-0.244299	0.345491
6.660000	-0.339770	0.357254
6.665000	-0.364558	0.369104
6.670000	-0.308265	0.381032
6.675000	-0.178434	0.393033
6.680000	0.000004	0.405099
6.685000	0.189423	0.417223
6.690000	0.347386	0.429397
6.695000	0.436176	0.441614
6.700000	0.431651	0.453866
6.705000	0.329609	0.466146
6.710000	0.147856	0.478447
6.715000	-0.076769	0.490761
6.720000	-0.295705	0.503080
6.725000	-0.459226	0.515398
6.730000	-0.527706	0.527706
6.735000	-0.481143	0.539997
6.740000	-0.324611	0.552264
6.745000	-0.088299	0.564500
6.750000	0.178198	0.576696
6.755000	0.416373	0.588845
6.760000	0.571529	0.600941
6.765000	0.605428	0.612976
6.770000	0.505596	0.624941
6.775000	0.289122	0.636832
6.780000	0.000000	0.648638
6.785000	-0.299801	0.660355
6.790000	-0.543647	0.671974
6.795000	-0.675073	0.683489
6.800000	-0.660883	0.694893
6.805000	-0.499339	0.706178
6.810000	-0.221656	0.717338
6.815000	0.113931	0.728366
6.820000	0.434521	0.739256
6.825000	0.668257	0.750000
6.830000	0.760592	0.760592
6.835000	0.686995	0.771027
6.840000	0.459238	0.781296
6.845000	0.123797	0.791395
6.850000	-0.247633	0.801317
6.855000	-0.573493	0.811056
6.860000	-0.780441	0.820607
6.865000	-0.819744	0.829962
6.870000	-0.678853	0.839118
6.875000	-0.385029	0.848067
6.880000	-0.000008	0.856805
6.885000	0.392851	0.865327
6.890000	0.706785	0.873626
6.895000	0.870841	0.881699
6.900000	0.846006	0.889540
6.905000	0.634377	0.897145
6.910000	0.279499	0.904508
6.915000	-0.142629	0.911626
6.920000	-0.539868	0.918495
6.925000	-0.824277	0.925109
6.930000	-0.931464	0.931464
6.935000	-0.835362	0.937558
6.940000	-0.554520	0.943387
6.945000	-0.148451	0.948946
6.950000	0.294881	0.954233
6.955000	0.678300	0.959243
6.960000	0.916790	0.963976
6.965000	0.956504	0.968426
6.970000	0.786840	0.972592
6.975000	0.443294	0.976471
6.980000	0.000018	0.980061
6.985000	-0.446429	0.983359
6.990000	-0.797987	0.986364
6.995000	-0.976899	0.989074
7.000000	-0.942966	0.991487
7.005000	-0.702588	0.993601
7.010000	-0.307599	0.995416
7.015000	0.155967	0.996930
7.020000	0.586676	0.998142
7.025000	0.890157	0.999052
7.030000	0.999659	0.999659
